IID RAW_PRS PRS
caseindv118 0.0396115999999989 -0.5209294
caseindv119 0.93407 -0.514021201
caseindv120 -2.221526 -0.34036128
caseindv121 2.631877 -0.64247399
caseindv122 1.1775779 -0.569607111
caseindv123 -0.4824443 -0.433031
caseindv124 -3.278832 -0.4354364
caseindv125 0.476724 -0.4152271
caseindv126 -1.331166 -0.40821109
caseindv127 -5.909767 -0.4505886
caseindv128 2.406417 -0.4016859
caseindv129 2.740721 -0.71732885
caseindv130 -3.19093653 -0.11363885
caseindv131 1.3489822 -0.69744525
caseindv132 -1.199388 -0.3044637
caseindv133 -0.505983000000001 -0.51373854
caseindv134 -2.546537 -0.2889187
caseindv135 0.9849642 -0.30452517
caseindv136 0.2803774 -0.50732331
caseindv137 -0.126595 -0.4358497
caseindv138 -0.1177267 -0.72945747
caseindv139 2.48714685 -0.1573233
caseindv140 -8.3499088 -0.1560961
caseindv141 -3.5762431 -0.244972
caseindv142 -2.443041 -0.11368607
caseindv143 1.9307194 -0.23440423
caseindv144 -7.3283976 -0.17226422
caseindv145 -4.5251769 -0.1762749
caseindv146 1.1666268 -0.34631171
caseindv147 -3.0902562 -0.40930991
caseindv148 1.5512898 -0.3948627
caseindv149 0.0319349999999989 -0.3103361
caseindv150 -3.795996 -0.11318559
caseindv151 -4.7033214 -0.2269444
caseindv152 5.956885 -0.583255902
caseindv153 4.368128 -0.81528383
caseindv154 -6.436527 -0.269426447
caseindv155 -3.0564168 -0.1216603
caseindv156 -4.2623501 -0.319419901
caseindv157 0.459227 -0.58688167
caseindv158 4.258003 -0.74978804
caseindv159 -1.987327 -0.2950636
caseindv160 2.84594 -0.554357761
caseindv161 -4.2121696 -0.0595476
caseindv162 0.099886699999999 -0.60909272
caseindv163 3.3207874 -0.81120156
caseindv164 -0.710327 -0.49760537
caseindv165 0.9149998 -0.75912212
caseindv166 -5.0096172 -0.3928525
caseindv167 3.3653717 -0.6592377
caseindv168 0.635678 -0.47234517
caseindv169 0.791945000000001 -0.55264898
caseindv170 4.064206 -0.49005523
caseindv171 -4.158206 -0.4311994
caseindv172 -3.54752 -0.40427148
caseindv173 -0.466068999999999 -0.4698497
caseindv174 2.826806 -0.56744951
caseindv175 2.4655832 -0.40278356
caseindv176 -9.510275 0.04985744
caseindv177 1.244603 -0.63882438
caseindv178 4.493118 -0.63091114
caseindv179 -3.077358 -0.46686057
caseindv180 -1.997687 -0.3957862
caseindv181 0.220389 -0.6042545
caseindv182 -3.179149 -0.35765717
caseindv183 -6.941632 -0.21297304
caseindv184 -3.637233 -0.2504354
caseindv185 5.640418 -0.72888579
caseindv186 1.36535 -0.21163129
caseindv187 -3.3300108 -0.3021366
caseindv188 -7.50428 0.08147527
caseindv189 -2.3901155 -0.5572459
caseindv190 1.606297 -0.5228565
caseindv191 -2.69905 -0.52623178
caseindv192 1.378876 -0.52425652
caseindv193 -0.407642800000001 -0.56919526
caseindv194 0.468847 -0.6002246
caseindv195 2.705737 -0.2124617
caseindv196 -6.71445964 -0.4002165
caseindv197 0.0851894999999994 -0.26592553
caseindv198 -1.745777 -0.42178751
caseindv199 1.305739 -0.558562
