FID IID PRS
casefamid85 caseindv85 -0.22527351
casefamid86 caseindv86 -0.39210295
casefamid87 caseindv87 -0.54246748
casefamid88 caseindv88 -0.51559063
casefamid89 caseindv89 0.02143201
casefamid90 caseindv90 -0.2287372
casefamid91 caseindv91 -0.384099
casefamid92 caseindv92 0.02366594
casefamid93 caseindv93 -0.1712479
casefamid94 caseindv94 -0.55196337
casefamid95 caseindv95 -0.4160675
casefamid96 caseindv96 -0.4229076
casefamid97 caseindv97 -0.0824681
casefamid98 caseindv98 -0.6299618
casefamid99 caseindv99 -0.5089003
casefamid100 caseindv100 -0.51661038
casefamid101 caseindv101 -0.05078718
casefamid102 caseindv102 -0.241024
casefamid103 caseindv103 -0.16681956
casefamid104 caseindv104 -0.418477
casefamid105 caseindv105 -0.92891765
casefamid106 caseindv106 -0.7932802
casefamid107 caseindv107 -0.3335026
casefamid108 caseindv108 -0.36565327
casefamid109 caseindv109 -0.2285487
casefamid110 caseindv110 -0.225712
casefamid111 caseindv111 -0.77320024
casefamid112 caseindv112 -0.57564413
casefamid113 caseindv113 -0.77413771
casefamid114 caseindv114 -0.4048896
casefamid115 caseindv115 -0.14981516
casefamid116 caseindv116 -0.1902969
casefamid117 caseindv117 -0.6221252
casefamid118 caseindv118 -0.5209294
casefamid119 caseindv119 -0.514021201
casefamid120 caseindv120 -0.34036128
casefamid121 caseindv121 -0.64247399
casefamid122 caseindv122 -0.569607111
casefamid123 caseindv123 -0.433031
casefamid124 caseindv124 -0.4354364
casefamid125 caseindv125 -0.4152271
casefamid126 caseindv126 -0.40821109
casefamid127 caseindv127 -0.4505886
casefamid128 caseindv128 -0.4016859
casefamid129 caseindv129 -0.71732885
casefamid130 caseindv130 -0.11363885
casefamid131 caseindv131 -0.69744525
casefamid132 caseindv132 -0.3044637
casefamid133 caseindv133 -0.51373854
casefamid134 caseindv134 -0.2889187
casefamid135 caseindv135 -0.30452517
casefamid136 caseindv136 -0.50732331
casefamid137 caseindv137 -0.4358497
casefamid138 caseindv138 -0.72945747
casefamid139 caseindv139 -0.1573233
casefamid140 caseindv140 -0.1560961
casefamid141 caseindv141 -0.244972
casefamid142 caseindv142 -0.11368607
casefamid143 caseindv143 -0.23440423
casefamid144 caseindv144 -0.17226422
casefamid145 caseindv145 -0.1762749
casefamid146 caseindv146 -0.34631171
casefamid147 caseindv147 -0.40930991
casefamid148 caseindv148 -0.3948627
casefamid149 caseindv149 -0.3103361
casefamid150 caseindv150 -0.11318559
casefamid151 caseindv151 -0.2269444
casefamid152 caseindv152 -0.583255902
casefamid153 caseindv153 -0.81528383
casefamid154 caseindv154 -0.269426447
casefamid155 caseindv155 -0.1216603
casefamid156 caseindv156 -0.319419901
casefamid157 caseindv157 -0.58688167
casefamid158 caseindv158 -0.74978804
casefamid159 caseindv159 -0.2950636
casefamid160 caseindv160 -0.554357761
casefamid161 caseindv161 -0.0595476
casefamid162 caseindv162 -0.60909272
casefamid163 caseindv163 -0.81120156
casefamid164 caseindv164 -0.49760537
casefamid165 caseindv165 -0.75912212
casefamid166 caseindv166 -0.3928525
casefamid167 caseindv167 -0.6592377
casefamid168 caseindv168 -0.47234517
casefamid169 caseindv169 -0.55264898
casefamid170 caseindv170 -0.49005523
casefamid171 caseindv171 -0.4311994
casefamid172 caseindv172 -0.40427148
casefamid173 caseindv173 -0.4698497
casefamid174 caseindv174 -0.56744951
casefamid175 caseindv175 -0.40278356
casefamid176 caseindv176 0.04985744
casefamid177 caseindv177 -0.63882438
casefamid178 caseindv178 -0.63091114
casefamid179 caseindv179 -0.46686057
casefamid180 caseindv180 -0.3957862
casefamid181 caseindv181 -0.6042545
casefamid182 caseindv182 -0.35765717
casefamid183 caseindv183 -0.21297304
casefamid184 caseindv184 -0.2504354
casefamid185 caseindv185 -0.72888579
casefamid186 caseindv186 -0.21163129
casefamid187 caseindv187 -0.3021366
casefamid188 caseindv188 0.08147527
casefamid189 caseindv189 -0.5572459
casefamid190 caseindv190 -0.5228565
casefamid191 caseindv191 -0.52623178
casefamid192 caseindv192 -0.52425652
casefamid193 caseindv193 -0.56919526
casefamid194 caseindv194 -0.6002246
casefamid195 caseindv195 -0.2124617
casefamid196 caseindv196 -0.4002165
casefamid197 caseindv197 -0.26592553
casefamid198 caseindv198 -0.42178751
casefamid199 caseindv199 -0.558562
